Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.302781820297241,2.302781820297241,2.299237392425537,0.001,0.001,1e-07
1,2,0.010214090347290039,2.2994556427001953,nan,nan,0.001,nan,1e-07
1,3,0.01813030242919922,1.963926076889038,nan,nan,0.001,nan,1e-07
1,4,0.02596879005432129,1.624525785446167,nan,nan,0.001,nan,1e-07
1,5,0.03370380401611328,1.2676551342010498,nan,nan,0.001,nan,1e-07
1,6,0.04143261909484863,0.9951105713844299,nan,nan,0.001,nan,1e-07
1,7,0.04913735389709473,0.8964110612869263,nan,nan,0.001,nan,1e-07
1,8,0.05691027641296387,0.9003304839134216,nan,nan,0.001,nan,1e-07
1,9,0.06463098526000977,0.5529729127883911,nan,nan,0.001,nan,1e-07
1,10,0.07234811782836914,0.7008028626441956,nan,nan,0.001,nan,1e-07
1,11,0.08009719848632812,0.6032056212425232,nan,nan,0.001,nan,1e-07
1,12,0.08781838417053223,0.646734893321991,nan,nan,0.001,nan,1e-07
1,13,0.09556937217712402,0.5717317461967468,nan,nan,0.001,nan,1e-07
1,14,0.10331344604492188,0.6428324580192566,nan,nan,0.001,nan,1e-07
1,15,0.11103057861328125,0.41671618819236755,nan,nan,0.001,nan,1e-07
1,16,0.11878728866577148,0.5010530352592468,nan,nan,0.001,nan,1e-07
1,17,0.12655234336853027,0.5889676809310913,nan,nan,0.001,nan,1e-07
1,18,0.1342792510986328,0.5803688168525696,nan,nan,0.001,nan,1e-07
1,19,0.14203333854675293,0.558124840259552,nan,nan,0.001,nan,1e-07
1,20,0.14974260330200195,0.4059157967567444,nan,nan,0.001,nan,1e-07
1,21,0.15746092796325684,0.293612539768219,nan,nan,0.001,nan,1e-07
1,22,0.16518092155456543,0.5142297744750977,nan,nan,0.001,nan,1e-07
1,23,0.172898530960083,0.4025636911392212,nan,nan,0.001,nan,1e-07
1,24,0.18067288398742676,0.5224314332008362,nan,nan,0.001,nan,1e-07
1,25,0.18851304054260254,0.3146015405654907,nan,nan,0.001,nan,1e-07
1,26,0.19627761840820312,0.45717641711235046,nan,nan,0.001,nan,1e-07
1,27,0.20397686958312988,0.4182940125465393,nan,nan,0.001,nan,1e-07
1,28,0.21186065673828125,0.46179455518722534,nan,nan,0.001,nan,1e-07
1,29,0.21958303451538086,0.31549766659736633,nan,nan,0.001,nan,1e-07
1,30,0.22733640670776367,0.2490760087966919,nan,nan,0.001,nan,1e-07
1,31,0.23506450653076172,0.3131270408630371,nan,nan,0.001,nan,1e-07
1,32,0.24277234077453613,0.33539101481437683,nan,nan,0.001,nan,1e-07
1,33,0.25046658515930176,0.2589370906352997,nan,nan,0.001,nan,1e-07
1,34,0.25819969177246094,0.24175964295864105,nan,nan,0.001,nan,1e-07
1,35,0.2659168243408203,0.4411514401435852,nan,nan,0.001,nan,1e-07
1,36,0.273639440536499,0.28601956367492676,nan,nan,0.001,nan,1e-07
1,37,0.2813448905944824,0.3584592342376709,nan,nan,0.001,nan,1e-07
1,38,0.28908300399780273,0.36941400170326233,nan,nan,0.001,nan,1e-07
1,39,0.29675984382629395,0.4152446687221527,nan,nan,0.001,nan,1e-07
1,40,0.30450010299682617,0.3055567741394043,nan,nan,0.001,nan,1e-07
1,41,0.31221747398376465,0.20375554263591766,nan,nan,0.001,nan,1e-07
1,42,0.3199348449707031,0.342440664768219,nan,nan,0.001,nan,1e-07
1,43,0.3277146816253662,0.2266853302717209,nan,nan,0.001,nan,1e-07
1,44,0.3355247974395752,0.36259034276008606,nan,nan,0.001,nan,1e-07
1,45,0.3432180881500244,0.4063526690006256,nan,nan,0.001,nan,1e-07
1,46,0.3509554862976074,0.4000042676925659,nan,nan,0.001,nan,1e-07
1,47,0.35873913764953613,0.23430228233337402,nan,nan,0.001,nan,1e-07
1,48,0.3665027618408203,0.2560847997665405,nan,nan,0.001,nan,1e-07
1,49,0.37421703338623047,0.25111037492752075,nan,nan,0.001,nan,1e-07
1,50,0.381929874420166,0.3764883279800415,nan,nan,0.001,nan,1e-07
1,51,0.3896207809448242,0.32536157965660095,nan,nan,0.001,nan,1e-07
1,52,0.39733219146728516,0.3429337441921234,nan,nan,0.001,nan,1e-07
1,53,0.405071496963501,0.22937333583831787,nan,nan,0.001,nan,1e-07
1,54,0.4128072261810303,0.3051154315471649,nan,nan,0.001,nan,1e-07
1,55,0.42052245140075684,0.2912888824939728,nan,nan,0.001,nan,1e-07
1,56,0.4282844066619873,0.188106968998909,nan,nan,0.001,nan,1e-07
1,57,0.4360313415527344,0.41167640686035156,nan,nan,0.001,nan,1e-07
1,58,0.4437565803527832,0.15648292005062103,nan,nan,0.001,nan,1e-07
1,59,0.4514639377593994,0.21248559653759003,nan,nan,0.001,nan,1e-07
1,60,0.4592447280883789,0.12332166731357574,nan,nan,0.001,nan,1e-07
1,61,0.46696925163269043,0.2956676781177521,nan,nan,0.001,nan,1e-07
1,62,0.4746999740600586,0.3085564970970154,nan,nan,0.001,nan,1e-07
1,63,0.4824087619781494,0.19551526010036469,nan,nan,0.001,nan,1e-07
1,64,0.49012327194213867,0.32252660393714905,nan,nan,0.001,nan,1e-07
1,65,0.49784135818481445,0.2625844180583954,nan,nan,0.001,nan,1e-07
1,66,0.5055980682373047,0.2738445997238159,nan,nan,0.001,nan,1e-07
1,67,0.5133066177368164,0.12672801315784454,nan,nan,0.001,nan,1e-07
1,68,0.5210654735565186,0.1733691543340683,nan,nan,0.001,nan,1e-07
1,69,0.5288171768188477,0.10430143028497696,nan,nan,0.001,nan,1e-07
1,70,0.5365674495697021,0.3694561719894409,nan,nan,0.001,nan,1e-07
1,71,0.5442986488342285,0.3576093316078186,nan,nan,0.001,nan,1e-07
1,72,0.5520684719085693,0.0848359614610672,nan,nan,0.001,nan,1e-07
1,73,0.5598320960998535,0.27100682258605957,nan,nan,0.001,nan,1e-07
1,74,0.5676059722900391,0.17567943036556244,nan,nan,0.001,nan,1e-07
1,75,0.5753238201141357,0.2409437745809555,nan,nan,0.001,nan,1e-07
1,76,0.5830509662628174,0.21695785224437714,nan,nan,0.001,nan,1e-07
1,77,0.5907702445983887,0.24524186551570892,nan,nan,0.001,nan,1e-07
1,78,0.5984988212585449,0.23564806580543518,nan,nan,0.001,nan,1e-07
1,79,0.6062369346618652,0.2364719957113266,nan,nan,0.001,nan,1e-07
1,80,0.6139829158782959,0.2194264829158783,nan,nan,0.001,nan,1e-07
1,81,0.6217594146728516,0.25785285234451294,nan,nan,0.001,nan,1e-07
1,82,0.629497766494751,0.16416725516319275,nan,nan,0.001,nan,1e-07
1,83,0.637199878692627,0.2158166915178299,nan,nan,0.001,nan,1e-07
1,84,0.6449952125549316,0.2536422610282898,nan,nan,0.001,nan,1e-07
1,85,0.6527087688446045,0.289410799741745,nan,nan,0.001,nan,1e-07
1,86,0.6604526042938232,0.31544065475463867,nan,nan,0.001,nan,1e-07
1,87,0.6682560443878174,0.2977669835090637,nan,nan,0.001,nan,1e-07
1,88,0.6760170459747314,0.30044394731521606,nan,nan,0.001,nan,1e-07
1,89,0.6837882995605469,0.1869291216135025,nan,nan,0.001,nan,1e-07
1,90,0.6915402412414551,0.30140960216522217,nan,nan,0.001,nan,1e-07
1,91,0.699293851852417,0.20439904928207397,nan,nan,0.001,nan,1e-07
1,92,0.7070310115814209,0.27688807249069214,nan,nan,0.001,nan,1e-07
1,93,0.7149333953857422,0.1964845210313797,nan,nan,0.001,nan,1e-07
1,94,0.7226970195770264,0.1921170949935913,nan,nan,0.001,nan,1e-07
1,95,0.730440616607666,0.1822674572467804,nan,nan,0.001,nan,1e-07
1,96,0.7381753921508789,0.2375539243221283,nan,nan,0.001,nan,1e-07
1,97,0.7459371089935303,0.13548439741134644,nan,nan,0.001,nan,1e-07
1,98,0.7537069320678711,0.15385913848876953,nan,nan,0.001,nan,1e-07
1,99,0.7615149021148682,0.17513799667358398,nan,nan,0.001,nan,1e-07
1,100,0.7692792415618896,0.253096342086792,nan,nan,0.001,nan,1e-07
1,101,0.7770235538482666,0.15643589198589325,nan,nan,0.001,nan,1e-07
1,102,0.7847743034362793,0.17480401694774628,nan,nan,0.001,nan,1e-07
1,103,0.7925231456756592,0.2461496889591217,nan,nan,0.001,nan,1e-07
1,104,0.8002643585205078,0.21005114912986755,nan,nan,0.001,nan,1e-07
1,105,0.8080315589904785,0.2649908661842346,nan,nan,0.001,nan,1e-07
1,106,0.8157753944396973,0.2087264358997345,nan,nan,0.001,nan,1e-07
1,107,0.8235254287719727,0.34329310059547424,nan,nan,0.001,nan,1e-07
1,108,0.8312690258026123,0.16920043528079987,nan,nan,0.001,nan,1e-07
1,109,0.8390529155731201,0.2602952718734741,nan,nan,0.001,nan,1e-07
1,110,0.8467862606048584,0.17058135569095612,nan,nan,0.001,nan,1e-07
1,111,0.8544795513153076,0.0943678468465805,nan,nan,0.001,nan,1e-07
1,112,0.8622152805328369,0.17921987175941467,nan,nan,0.001,nan,1e-07
1,113,0.8699653148651123,0.16578572988510132,nan,nan,0.001,nan,1e-07
1,114,0.8777344226837158,0.17933718860149384,nan,nan,0.001,nan,1e-07
1,115,0.8854317665100098,0.1820829212665558,nan,nan,0.001,nan,1e-07
1,116,0.8931059837341309,0.1160537526011467,nan,nan,0.001,nan,1e-07
1,117,0.9008657932281494,0.19043733179569244,nan,nan,0.001,nan,1e-07
1,118,0.9086041450500488,0.1961793750524521,nan,nan,0.001,nan,1e-07
1,119,0.9163818359375,0.21234367787837982,nan,nan,0.001,nan,1e-07
1,120,0.9241225719451904,0.18421918153762817,nan,nan,0.001,nan,1e-07
1,121,0.9318568706512451,0.24172914028167725,nan,nan,0.001,nan,1e-07
1,122,0.9395744800567627,0.22089500725269318,nan,nan,0.001,nan,1e-07
1,123,0.9473307132720947,0.08011864125728607,nan,nan,0.001,nan,1e-07
1,124,0.9551143646240234,0.16343346238136292,nan,nan,0.001,nan,1e-07
1,125,0.9628417491912842,0.24286621809005737,nan,nan,0.001,nan,1e-07
1,126,0.9706287384033203,0.2885904908180237,nan,nan,0.001,nan,1e-07
1,127,0.9783957004547119,0.1670781522989273,nan,nan,0.001,nan,1e-07
1,128,0.986175537109375,0.13528881967067719,nan,nan,0.001,nan,1e-07
1,129,0.9938993453979492,0.0831652358174324,nan,nan,0.001,nan,1e-07
1,130,1.0016307830810547,0.12445858120918274,nan,nan,0.001,nan,1e-07
1,131,1.0094079971313477,0.24366901814937592,nan,nan,0.001,nan,1e-07
1,132,1.0171678066253662,0.2188616245985031,nan,nan,0.001,nan,1e-07
1,133,1.0249354839324951,0.14661434292793274,nan,nan,0.001,nan,1e-07
1,134,1.0326967239379883,0.18413692712783813,nan,nan,0.001,nan,1e-07
1,135,1.0404636859893799,0.11726068705320358,nan,nan,0.001,nan,1e-07
1,136,1.0482161045074463,0.1967540681362152,nan,nan,0.001,nan,1e-07
1,137,1.05595064163208,0.18314480781555176,nan,nan,0.001,nan,1e-07
1,138,1.0636756420135498,0.08956725895404816,nan,nan,0.001,nan,1e-07
1,139,1.0713982582092285,0.16288618743419647,nan,nan,0.001,nan,1e-07
1,140,1.0791313648223877,0.19024044275283813,nan,nan,0.001,nan,1e-07
1,141,1.0868134498596191,0.2264842689037323,nan,nan,0.001,nan,1e-07
1,142,1.094538688659668,0.20345214009284973,nan,nan,0.001,nan,1e-07
1,143,1.1022367477416992,0.1262262761592865,nan,nan,0.001,nan,1e-07
1,144,1.1099567413330078,0.20096707344055176,nan,nan,0.001,nan,1e-07
1,145,1.1176705360412598,0.2561127245426178,nan,nan,0.001,nan,1e-07
1,146,1.1254184246063232,0.2334194779396057,nan,nan,0.001,nan,1e-07
1,147,1.1331491470336914,0.10735654830932617,nan,nan,0.001,nan,1e-07
1,148,1.1408886909484863,0.15038640797138214,nan,nan,0.001,nan,1e-07
1,149,1.1486265659332275,0.12714648246765137,nan,nan,0.001,nan,1e-07
1,150,1.1564126014709473,0.12799134850502014,nan,nan,0.001,nan,1e-07
1,151,1.164153814315796,0.12412454932928085,nan,nan,0.001,nan,1e-07
1,152,1.1718945503234863,0.16912183165550232,nan,nan,0.001,nan,1e-07
1,153,1.1796324253082275,0.22846150398254395,nan,nan,0.001,nan,1e-07
1,154,1.1873390674591064,0.2256978154182434,nan,nan,0.001,nan,1e-07
1,155,1.1950392723083496,0.17156141996383667,nan,nan,0.001,nan,1e-07
1,156,1.2027466297149658,0.20845381915569305,nan,nan,0.001,nan,1e-07
1,157,1.2105860710144043,0.058772653341293335,nan,nan,0.001,nan,1e-07
1,158,1.2183420658111572,0.15169622004032135,nan,nan,0.001,nan,1e-07
1,159,1.2260429859161377,0.10812045633792877,nan,nan,0.001,nan,1e-07
1,160,1.2337546348571777,0.1521436721086502,nan,nan,0.001,nan,1e-07
1,161,1.2414588928222656,0.19824336469173431,nan,nan,0.001,nan,1e-07
1,162,1.2492008209228516,0.20212522149085999,nan,nan,0.001,nan,1e-07
1,163,1.2568964958190918,0.1975116729736328,nan,nan,0.001,nan,1e-07
1,164,1.2646222114562988,0.19781918823719025,nan,nan,0.001,nan,1e-07
1,165,1.272355556488037,0.15036234259605408,nan,nan,0.001,nan,1e-07
1,166,1.2801437377929688,0.18247690796852112,nan,nan,0.001,nan,1e-07
1,167,1.2878766059875488,0.1484101116657257,nan,nan,0.001,nan,1e-07
1,168,1.2956247329711914,0.21819326281547546,nan,nan,0.001,nan,1e-07
1,169,1.303285837173462,0.16691410541534424,nan,nan,0.001,nan,1e-07
1,170,1.3110148906707764,0.08812984824180603,nan,nan,0.001,nan,1e-07
1,171,1.3186731338500977,0.07551444321870804,nan,nan,0.001,nan,1e-07
1,172,1.3263964653015137,0.2022690325975418,nan,nan,0.001,nan,1e-07
1,173,1.334080696105957,0.1374175101518631,nan,nan,0.001,nan,1e-07
1,174,1.3418233394622803,0.11647723615169525,nan,nan,0.001,nan,1e-07
1,175,1.349548578262329,0.27858853340148926,nan,nan,0.001,nan,1e-07
1,176,1.3572378158569336,0.14476421475410461,nan,nan,0.001,nan,1e-07
1,177,1.3649516105651855,0.3396071493625641,nan,nan,0.001,nan,1e-07
1,178,1.3726658821105957,0.08576195687055588,nan,nan,0.001,nan,1e-07
1,179,1.380418062210083,0.23338329792022705,nan,nan,0.001,nan,1e-07
1,180,1.388131856918335,0.0922522246837616,nan,nan,0.001,nan,1e-07
1,181,1.3958196640014648,0.15117889642715454,nan,nan,0.001,nan,1e-07
1,182,1.4035401344299316,0.13491299748420715,nan,nan,0.001,nan,1e-07
1,183,1.4112534523010254,0.1428513526916504,nan,nan,0.001,nan,1e-07
1,184,1.4189519882202148,0.17474043369293213,nan,nan,0.001,nan,1e-07
1,185,1.4266526699066162,0.18492646515369415,nan,nan,0.001,nan,1e-07
1,186,1.4344592094421387,0.10646545886993408,nan,nan,0.001,nan,1e-07
1,187,1.4421875476837158,0.10571383684873581,nan,nan,0.001,nan,1e-07
1,188,1.449937105178833,0.1903800219297409,nan,nan,0.001,nan,1e-07
1,189,1.4577054977416992,0.07009103894233704,nan,nan,0.001,nan,1e-07
1,190,1.4654452800750732,0.12716752290725708,nan,nan,0.001,nan,1e-07
1,191,1.4731645584106445,0.14063593745231628,nan,nan,0.001,nan,1e-07
1,192,1.4809346199035645,0.24656152725219727,nan,nan,0.001,nan,1e-07
1,193,1.4886348247528076,0.134317547082901,nan,nan,0.001,nan,1e-07
1,194,1.4963877201080322,0.1705048531293869,nan,nan,0.001,nan,1e-07
1,195,1.5041210651397705,0.14998331665992737,nan,nan,0.001,nan,1e-07
1,196,1.5119214057922363,0.34740111231803894,nan,nan,0.001,nan,1e-07
1,197,1.5196573734283447,0.11744995415210724,nan,nan,0.001,nan,1e-07
