Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.305351972579956,2.305351972579956,2.302998336791992,0.001,0.001,0.001
1,2,0.2631983757019043,2.3249125480651855,nan,nan,0.001,nan,0.001
1,3,0.3431715965270996,2.3059744834899902,nan,nan,0.001,nan,0.001
1,4,0.4225642681121826,2.318744659423828,nan,nan,0.001,nan,0.001
1,5,0.5011520385742188,2.2933149337768555,nan,nan,0.001,nan,0.001
1,6,0.5804042816162109,2.3081650733947754,nan,nan,0.001,nan,0.001
1,7,0.6596574783325195,2.302191734313965,nan,nan,0.001,nan,0.001
1,8,0.7376425266265869,2.277099132537842,nan,nan,0.001,nan,0.001
1,9,0.8153932094573975,2.311014413833618,nan,nan,0.001,nan,0.001
1,10,0.89337158203125,2.3053061962127686,nan,nan,0.001,nan,0.001
1,11,0.972395658493042,2.33616304397583,nan,nan,0.001,nan,0.001
1,12,1.0513994693756104,2.302581787109375,nan,nan,0.001,nan,0.001
1,13,1.1309301853179932,2.3118934631347656,nan,nan,0.001,nan,0.001
1,14,1.2100830078125,2.3172988891601562,nan,nan,0.001,nan,0.001
1,15,1.289247751235962,2.3196818828582764,nan,nan,0.001,nan,0.001
1,16,1.3676254749298096,2.311495780944824,nan,nan,0.001,nan,0.001
1,17,1.4476559162139893,2.3032116889953613,nan,nan,0.001,nan,0.001
1,18,1.5271694660186768,2.3140077590942383,nan,nan,0.001,nan,0.001
1,19,1.6064319610595703,2.342996835708618,nan,nan,0.001,nan,0.001
1,20,1.6849348545074463,2.3176381587982178,nan,nan,0.001,nan,0.001
1,21,1.7629361152648926,2.2982234954833984,nan,nan,0.001,nan,0.001
1,22,1.8412551879882812,2.3057119846343994,nan,nan,0.001,nan,0.001
1,23,1.9207823276519775,2.3015825748443604,nan,nan,0.001,nan,0.001
1,24,2.000061511993408,2.3119218349456787,nan,nan,0.001,nan,0.001
1,25,2.0790977478027344,2.292778491973877,nan,nan,0.001,nan,0.001
1,26,2.158198833465576,2.3136179447174072,nan,nan,0.001,nan,0.001
1,27,2.237870216369629,2.309054136276245,nan,nan,0.001,nan,0.001
1,28,2.3181538581848145,2.2820539474487305,nan,nan,0.001,nan,0.001
1,29,2.397514820098877,2.3105790615081787,nan,nan,0.001,nan,0.001
1,30,2.4767677783966064,2.3034541606903076,nan,nan,0.001,nan,0.001
1,31,2.555708646774292,2.3106987476348877,nan,nan,0.001,nan,0.001
1,32,2.6344761848449707,2.3166556358337402,nan,nan,0.001,nan,0.001
1,33,2.712390899658203,2.3171582221984863,nan,nan,0.001,nan,0.001
1,34,2.791175127029419,2.2837042808532715,nan,nan,0.001,nan,0.001
1,35,2.869502067565918,2.3117990493774414,nan,nan,0.001,nan,0.001
1,36,2.9491634368896484,2.3075780868530273,nan,nan,0.001,nan,0.001
1,37,3.027886390686035,2.289227247238159,nan,nan,0.001,nan,0.001
1,38,3.1079719066619873,2.3185200691223145,nan,nan,0.001,nan,0.001
1,39,3.18677020072937,2.3211686611175537,nan,nan,0.001,nan,0.001
1,40,3.2663934230804443,2.3131263256073,nan,nan,0.001,nan,0.001
1,41,3.3460190296173096,2.2974917888641357,nan,nan,0.001,nan,0.001
