Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.305351972579956,2.305351972579956,2.302998336791992,0.001,0.001,0.001
1,2,0.2564980983734131,2.335387706756592,nan,nan,0.001,nan,0.001
1,3,0.3315694332122803,2.3070125579833984,nan,nan,0.001,nan,0.001
1,4,0.4064793586730957,2.318434953689575,nan,nan,0.001,nan,0.001
1,5,0.482189416885376,2.2964649200439453,nan,nan,0.001,nan,0.001
1,6,0.5572333335876465,2.3116953372955322,nan,nan,0.001,nan,0.001
1,7,0.6314747333526611,2.3052854537963867,nan,nan,0.001,nan,0.001
1,8,0.7070653438568115,2.2922561168670654,nan,nan,0.001,nan,0.001
1,9,0.7826323509216309,2.318331003189087,nan,nan,0.001,nan,0.001
1,10,0.8608050346374512,2.2997512817382812,nan,nan,0.001,nan,0.001
1,11,0.9353406429290771,2.3326332569122314,nan,nan,0.001,nan,0.001
1,12,1.0106966495513916,2.3013298511505127,nan,nan,0.001,nan,0.001
1,13,1.0857360363006592,2.3128976821899414,nan,nan,0.001,nan,0.001
1,14,1.1606128215789795,2.3230230808258057,nan,nan,0.001,nan,0.001
1,15,1.2353124618530273,2.330366849899292,nan,nan,0.001,nan,0.001
1,16,1.3108866214752197,2.3138372898101807,nan,nan,0.001,nan,0.001
1,17,1.38692307472229,2.3074076175689697,nan,nan,0.001,nan,0.001
1,18,1.4609649181365967,2.305881977081299,nan,nan,0.001,nan,0.001
1,19,1.5364313125610352,2.336634397506714,nan,nan,0.001,nan,0.001
1,20,1.611982822418213,2.309734344482422,nan,nan,0.001,nan,0.001
1,21,1.6878881454467773,2.3024954795837402,nan,nan,0.001,nan,0.001
1,22,1.7627062797546387,2.300083637237549,nan,nan,0.001,nan,0.001
1,23,1.838151454925537,2.303215265274048,nan,nan,0.001,nan,0.001
1,24,1.916273832321167,2.3073554039001465,nan,nan,0.001,nan,0.001
1,25,1.9919743537902832,2.3011415004730225,nan,nan,0.001,nan,0.001
1,26,2.0672833919525146,2.3140645027160645,nan,nan,0.001,nan,0.001
1,27,2.1419126987457275,2.311418294906616,nan,nan,0.001,nan,0.001
1,28,2.2176387310028076,2.2896060943603516,nan,nan,0.001,nan,0.001
1,29,2.293877601623535,2.3184845447540283,nan,nan,0.001,nan,0.001
1,30,2.3696935176849365,2.301377773284912,nan,nan,0.001,nan,0.001
1,31,2.4446609020233154,2.31088924407959,nan,nan,0.001,nan,0.001
1,32,2.520231246948242,2.310363531112671,nan,nan,0.001,nan,0.001
1,33,2.5953128337860107,2.3136022090911865,nan,nan,0.001,nan,0.001
1,34,2.670793294906616,2.288743495941162,nan,nan,0.001,nan,0.001
