Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.2260472774505615,2.2260472774505615,2.285788642883301,0.001,0.001,1e-07
1,2,0.00833892822265625,2.2488579750061035,nan,nan,0.001,nan,1e-07
1,3,0.015513181686401367,2.2117326259613037,nan,nan,0.001,nan,1e-07
1,4,0.022627592086791992,2.022531270980835,nan,nan,0.001,nan,1e-07
1,5,0.029736995697021484,1.9528489112854004,nan,nan,0.001,nan,1e-07
1,6,0.036875247955322266,1.863918423652649,nan,nan,0.001,nan,1e-07
1,7,0.04400348663330078,1.7407569885253906,nan,nan,0.001,nan,1e-07
1,8,0.05104780197143555,1.54192316532135,nan,nan,0.001,nan,1e-07
1,9,0.05814075469970703,1.5660432577133179,nan,nan,0.001,nan,1e-07
1,10,0.0652306079864502,1.350941777229309,nan,nan,0.001,nan,1e-07
1,11,0.07227826118469238,1.3282874822616577,nan,nan,0.001,nan,1e-07
1,12,0.07934379577636719,1.2193180322647095,nan,nan,0.001,nan,1e-07
1,13,0.08637094497680664,1.265470027923584,nan,nan,0.001,nan,1e-07
1,14,0.0934290885925293,1.208095908164978,nan,nan,0.001,nan,1e-07
1,15,0.10060524940490723,1.1092373132705688,nan,nan,0.001,nan,1e-07
1,16,0.10767102241516113,1.0794639587402344,nan,nan,0.001,nan,1e-07
1,17,0.11472415924072266,0.9404371380805969,nan,nan,0.001,nan,1e-07
1,18,0.12169933319091797,0.9732034206390381,nan,nan,0.001,nan,1e-07
1,19,0.128706693649292,0.9821891188621521,nan,nan,0.001,nan,1e-07
1,20,0.1357107162475586,0.876997709274292,nan,nan,0.001,nan,1e-07
1,21,0.14277076721191406,0.8493981957435608,nan,nan,0.001,nan,1e-07
1,22,0.14977049827575684,0.7911061644554138,nan,nan,0.001,nan,1e-07
1,23,0.15682196617126465,0.7728747129440308,nan,nan,0.001,nan,1e-07
1,24,0.1639249324798584,1.0031726360321045,nan,nan,0.001,nan,1e-07
1,25,0.17097759246826172,0.7846336960792542,nan,nan,0.001,nan,1e-07
1,26,0.17807650566101074,0.9003236293792725,nan,nan,0.001,nan,1e-07
1,27,0.18515229225158691,0.7045084238052368,nan,nan,0.001,nan,1e-07
1,28,0.19217896461486816,0.7015984654426575,nan,nan,0.001,nan,1e-07
1,29,0.19919800758361816,0.9015772938728333,nan,nan,0.001,nan,1e-07
1,30,0.20623207092285156,0.7274678945541382,nan,nan,0.001,nan,1e-07
1,31,0.2132549285888672,0.7473939657211304,nan,nan,0.001,nan,1e-07
1,32,0.22030282020568848,0.8326735496520996,nan,nan,0.001,nan,1e-07
1,33,0.22737908363342285,0.703903317451477,nan,nan,0.001,nan,1e-07
1,34,0.23440790176391602,0.6180434823036194,nan,nan,0.001,nan,1e-07
1,35,0.24151086807250977,0.6742335557937622,nan,nan,0.001,nan,1e-07
1,36,0.24863171577453613,0.6461013555526733,nan,nan,0.001,nan,1e-07
